id,source_id,destination_id,timestamp,created_at,n_interpolation_points,step_distance_km,value
175,24,52,2025-04-03T05:36+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.021457289717603516
176,52,28,2025-04-03T07:18+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.009951801866904317
177,1,17,2025-03-15T04:02+00:00,2025-07-19T11:32:31+00:00,5,243.05837971859987,0.03422415769239588
178,17,45,2025-03-15T15:56+00:00,2025-07-19T11:32:31+00:00,3,1790.4268148254373,0.5
179,45,33,2025-03-16T23:19+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.07043673089281707
180,33,36,2025-03-17T05:08+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03356922328148251
181,36,28,2025-03-17T08:17+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.014774031693273055
182,9,6,2025-03-20T10:22+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.032295464698450495
183,6,35,2025-03-21T05:46+00:00,2025-07-19T11:32:31+00:00,4,1603.3385369061978,0.09975048911968513
184,35,45,2025-03-22T04:50+00:00,2025-07-19T11:32:31+00:00,4,1065.4602759700067,0.06660803557509065
185,45,33,2025-03-24T00:58+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
186,33,36,2025-03-24T03:23+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01536770556527555
187,36,28,2025-03-24T08:24+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.012128434984274237
188,54,16,2025-03-14T22:33+00:00,2025-07-19T11:32:31+00:00,5,345.64812994681307,0.04565117078444372
189,16,20,2025-03-15T20:57+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.5
190,20,60,2025-03-17T00:44+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
191,60,14,2025-03-17T05:00+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03356922328148251
192,14,28,2025-03-17T06:01+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03356922328148251
193,54,37,2025-03-18T01:23+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.05732417589886873
194,37,16,2025-03-18T01:23+00:00,2025-07-19T11:32:31+00:00,5,328.9480959556589,0.05732417589886873
195,16,20,2025-03-18T12:04+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.07727220213665985
196,20,60,2025-03-19T02:35+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.0787103371705352
197,60,14,2025-03-19T04:49+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.08317269649392235
198,14,28,2025-03-19T05:36+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.08317269649392235
199,9,6,2025-03-20T14:30+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01798620996209156
200,6,35,2025-03-21T08:00+00:00,2025-07-19T11:32:31+00:00,4,1603.3385369061978,0.11304583007207897
201,35,45,2025-03-22T18:04+00:00,2025-07-19T11:32:31+00:00,4,1065.4602759700067,0.03841998550156536
202,45,33,2025-03-24T00:58+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
203,33,36,2025-03-24T03:23+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01536770556527555
204,36,28,2025-03-24T08:24+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.012128434984274237
205,9,6,2025-04-02T16:48+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.009377688862676856
